Zone DNS	Adresses	Latitudes	Longitudes	Codes
www.portcros-parcnational.fr	Parc National de Port-Cros, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.00997000000007	6.381690000000049	83400
www.portcros-parcnational.fr	Parc National de Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.02159000000006	6.325020000000052	
www.ramatuelle-tourisme.com	Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21456000000006	6.613500000000045	
www.ramatuelle-tourisme.com	Ramatuelle, Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.413920000000076	6.016670000000033	
www.bandol-blog.com	Bandol, Var, Provence-Alpes-Côte d'Azur, FRA	43.13620000000003	5.753320000000031	
www.portcros-parcnational.fr	Parc National de Port-Cros, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.00997000000007	6.381690000000049	83400
www.portcros-parcnational.fr	Parc National de Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.02159000000006	6.325020000000052	
www.ramatuelle-tourisme.com	Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21456000000006	6.613500000000045	
www.ramatuelle-tourisme.com	Ramatuelle, Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.413920000000076	6.016670000000033	
fort-eminence-port-cros.blogspot.com	Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.01017000000007	6.382050000000049	
