;DNS Source;Occurences;Domain Rating;URL Rating (desc);Referring Domains;Referring Page URL;Referring Page Title;Internal Links Count;External Links Count;Link URL;TextPre;Link Anchor;TextPost;Type;Backlink Status;First Seen;Last Check;Day Lost;Language;Traffic;Keywords;Js rendered;Linked Domains;DNS Cible
0;www.cevennes-parcnational.fr;2;67;50;824;http://www.cevennes-parcnational.fr/fr;Parc national des Cévennes |;203;37;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;11/01/2019 04:07;23/02/2020 14:12;;;938;935;;20;www.portcrosparcnational.fr
1;www.parcsnationaux.fr;1;55;50;692;http://www.parcsnationaux.fr/fr;Portail des parcs nationaux de France |;121;33;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;15/01/2017 20:51;22/02/2020 08:31;;fr;1844;325;;21;www.portcrosparcnational.fr
2;www.parc-amazonien-guyane.fr;1;53;38;199;http://www.parc-amazonien-guyane.fr/fr;Parc amazonien de Guyane |;134;32;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;18/05/2018 08:23;22/02/2020 07:40;;fr;7;3;;19;www.portcrosparcnational.fr
3;www.var.gouv.fr;1;65;39;266;http://www.var.gouv.fr/acces-aux-massifs-forestiers-du-var-a2898.html;Accès aux massifs forestiers du Var - L'Etat dans le Var - Préfecture de Toulon (83);104;48;http://www.portcrosparcnational.fr/;Les massifs des Iles dOr ont une réglementation spécifique. Ouvrez;Parc national de Port-Cros;;Dofollow, Content;;18/12/2019 20:53;22/02/2020 08:16;;fr;3543;319;;31;www.portcrosparcnational.fr
4;www.reunion-parcnational.fr;1;57;43;420;http://www.reunion-parcnational.fr/fr;Parc national de la Réunion |;176;36;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;16/01/2017 06:09;22/02/2020 02:01;;fr;82;100;;20;www.portcrosparcnational.fr
5;www.mercantour-parcnational.fr;1;65;53;1074;http://www.mercantour-parcnational.fr/fr;Parc national du Mercantour |;138;40;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;28/03/2018 07:07;23/02/2020 04:37;;fr;2986;424;;23;www.portcrosparcnational.fr
6;www.vanoise-parcnational.fr;1;62;48;579;http://www.vanoise-parcnational.fr/fr;Parc national de la Vanoise |;188;51;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;02/08/2016 01:18;23/02/2020 14:30;;fr;2424;146;;21;www.portcrosparcnational.fr
7;www.pyrenees-parcnational.fr;1;55;45;450;http://www.pyrenees-parcnational.fr/fr;Parc national des Pyrénées |;201;42;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;05/02/2017 23:00;23/02/2020 03:39;;fr;2241;475;;24;www.portcrosparcnational.fr
8;www.guadeloupe-parcnational.fr;1;57;44;446;http://www.guadeloupe-parcnational.fr/fr;Parc national de la Guadeloupe |;170;35;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;01/02/2019 20:58;15/02/2020 02:38;;fr;767;148;;21;www.portcrosparcnational.fr
9;www.calanques-parcnational.fr;1;63;51;842;http://www.calanques-parcnational.fr/fr;Parc national des Calanques |;173;34;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;05/12/2017 11:40;22/02/2020 22:02;;fr;3008;498;;21;www.portcrosparcnational.fr
10;www.ramatuelle-tourisme.com;1;45;41;309;https://www.ramatuelle-tourisme.com/;Office de Tourisme et de la Culture  Ramatuelle;59;41;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;17/05/2017 15:04;22/02/2020 03:51;;;1283;126;;17;www.portcrosparcnational.fr
11;www.portcros-parcnational.fr;1;62;48;676;http://www.portcros-parcnational.fr/fr;Parc national de Port-Cros et Porquerolles |;110;41;http://www.portcrosparcnational.fr/;;Parc national de Port-Cros;;Dofollow;;26/11/2017 19:35;20/02/2020 10:16;;fr;1131;381;;26;www.portcrosparcnational.fr
